leave_type,duration_days,department_id,position_id,previous_requests,previous_approved,previous_rejected,approval_rate,on_time_rate,late_count,same_department_leave_count,target
SICK,6,5,17,1,0,1,0.0,0.7273,9,1,REJECTED
ANNUAL,10,2,7,8,0,8,0.0,0.8269,9,5,REJECTED
ANNUAL,2,3,12,1,0,1,0.0,0.6667,9,4,REJECTED
ANNUAL,9,1,1,7,4,3,0.5714,0.9231,1,5,REJECTED
SICK,6,5,19,2,2,0,1.0,0.8077,5,5,APPROVED
SICK,2,6,21,1,0,1,0.0,0.9773,1,2,APPROVED
SICK,1,6,21,4,2,2,0.5,0.9833,1,2,APPROVED
SICK,6,1,2,8,6,2,0.75,0.9184,4,1,APPROVED
ANNUAL,1,1,3,2,2,0,1.0,0.5806,13,5,APPROVED
SICK,7,2,7,0,0,0,0.5,0.825,7,1,APPROVED
SICK,1,6,22,3,3,0,1.0,0.7419,8,0,APPROVED
ANNUAL,9,4,15,5,0,5,0.0,0.5294,8,1,REJECTED
SICK,2,5,17,6,2,4,0.3333,0.8214,10,3,REJECTED
ANNUAL,10,5,18,3,2,1,0.6667,0.0833,11,3,REJECTED
SICK,6,5,20,6,0,6,0.0,0.8077,10,4,REJECTED
ANNUAL,9,5,18,4,3,1,0.75,0.6,12,5,REJECTED
ANNUAL,7,1,1,2,2,0,1.0,0.8043,9,3,APPROVED
ANNUAL,4,2,5,6,6,0,1.0,0.7872,10,3,APPROVED
ANNUAL,3,1,1,1,1,0,1.0,0.7619,10,0,APPROVED
SICK,3,6,22,0,0,0,0.5,0.75,3,3,APPROVED
ANNUAL,7,4,16,3,3,0,1.0,0.7073,12,1,APPROVED
SICK,7,6,24,3,1,2,0.3333,0.7407,14,0,APPROVED
ANNUAL,3,5,18,7,5,2,0.7143,0.7586,14,4,APPROVED
ANNUAL,3,5,20,7,7,0,1.0,0.7308,7,5,APPROVED
ANNUAL,4,4,15,4,3,1,0.75,0.2143,11,2,APPROVED
SICK,3,2,6,2,0,2,0.0,0.8824,4,5,APPROVED
ANNUAL,9,6,21,7,6,1,0.8571,0.7692,3,3,REJECTED
SICK,10,6,23,6,3,3,0.5,0.5,5,2,REJECTED
SICK,8,6,21,3,2,1,0.6667,0.5946,15,0,REJECTED
ANNUAL,3,1,2,7,2,5,0.2857,1.0,0,3,APPROVED
SICK,7,6,24,2,1,1,0.5,0.9524,1,2,APPROVED
ANNUAL,6,4,14,6,2,4,0.3333,0.7759,13,2,REJECTED
SICK,6,3,10,3,0,3,0.0,0.9831,1,0,APPROVED
SICK,4,6,24,2,1,1,0.5,0.9423,3,4,APPROVED
ANNUAL,3,5,17,1,0,1,0.0,0.8966,3,4,REJECTED
ANNUAL,7,6,23,3,0,3,0.0,0.8511,7,0,REJECTED
SICK,10,4,13,0,0,0,0.5,0.5938,13,5,REJECTED
ANNUAL,1,2,8,6,6,0,1.0,0.9268,3,3,APPROVED
SICK,7,4,14,2,2,0,1.0,0.814,8,4,APPROVED
ANNUAL,10,4,14,4,2,2,0.5,0.92,2,2,APPROVED
ANNUAL,6,4,14,0,0,0,0.5,0.7561,10,1,APPROVED
ANNUAL,5,5,17,4,4,0,1.0,0.2,8,1,APPROVED
ANNUAL,9,6,21,3,3,0,1.0,0.7059,15,3,APPROVED
ANNUAL,4,6,22,4,4,0,1.0,0.5455,15,4,APPROVED
ANNUAL,6,3,10,7,4,3,0.5714,0.7241,8,1,APPROVED
SICK,9,2,6,2,0,2,0.0,0.3478,15,2,REJECTED
ANNUAL,2,4,15,3,2,1,0.6667,0.5417,11,1,APPROVED
SICK,5,5,20,0,0,0,0.5,0.3846,8,2,REJECTED
SICK,1,1,4,4,3,1,0.75,0.65,14,2,REJECTED
ANNUAL,2,5,17,1,1,0,1.0,0.9512,2,4,APPROVED
ANNUAL,2,6,23,3,0,3,0.0,0.7111,13,4,REJECTED
ANNUAL,8,6,22,7,4,3,0.5714,0.7234,13,2,REJECTED
SICK,4,4,13,3,2,1,0.6667,0.9615,2,1,APPROVED
SICK,1,4,16,6,3,3,0.5,0.7222,15,2,APPROVED
ANNUAL,8,2,7,1,0,1,0.0,0.7692,6,3,REJECTED
SICK,5,2,8,2,0,2,0.0,0.8462,2,2,REJECTED
ANNUAL,8,6,23,1,1,0,1.0,0.8333,9,5,REJECTED
ANNUAL,8,4,15,1,0,1,0.0,0.7297,10,4,REJECTED
SICK,5,6,22,0,0,0,0.5,0.9138,5,3,APPROVED
SICK,10,5,17,6,5,1,0.8333,0.9512,2,3,APPROVED
SICK,3,2,6,5,3,2,0.6,0.7222,15,2,REJECTED
SICK,8,5,20,1,1,0,1.0,0.6154,10,0,REJECTED
ANNUAL,7,6,24,0,0,0,0.5,0.5,11,4,REJECTED
SICK,5,5,19,8,2,6,0.25,0.5,14,5,REJECTED
SICK,3,2,8,4,4,0,1.0,0.2,8,3,APPROVED
ANNUAL,2,5,18,2,1,1,0.5,0.8364,9,4,APPROVED
ANNUAL,4,1,4,7,2,5,0.2857,0.8235,6,4,APPROVED
SICK,5,3,12,6,2,4,0.3333,0.8667,8,0,APPROVED
ANNUAL,3,6,23,7,7,0,1.0,0.6875,10,4,APPROVED
SICK,4,2,6,6,1,5,0.1667,0.7797,13,0,REJECTED
ANNUAL,7,2,7,2,1,1,0.5,0.8333,2,4,APPROVED
ANNUAL,2,5,18,8,7,1,0.875,0.8,2,3,APPROVED
ANNUAL,10,5,17,6,5,1,0.8333,0.3333,10,5,REJECTED
ANNUAL,9,2,6,0,0,0,0.5,0.9592,2,1,REJECTED
SICK,7,3,10,1,0,1,0.0,0.8684,5,5,REJECTED
ANNUAL,1,5,19,4,2,2,0.5,0.6061,13,1,APPROVED
SICK,3,6,23,2,0,2,0.0,0.7551,12,4,REJECTED
SICK,4,6,23,7,4,3,0.5714,0.7949,8,5,REJECTED
ANNUAL,9,4,14,2,0,2,0.0,0.7105,11,4,REJECTED
ANNUAL,8,6,21,4,1,3,0.25,0.5588,15,0,REJECTED
ANNUAL,5,3,9,0,0,0,0.5,0.7692,12,2,REJECTED
SICK,10,1,2,7,4,3,0.5714,0.8814,7,4,APPROVED
ANNUAL,3,1,1,1,0,1,0.0,0.5172,14,0,APPROVED
SICK,5,3,12,5,5,0,1.0,0.8611,5,1,APPROVED
ANNUAL,3,3,9,4,3,1,0.75,0.6429,10,0,REJECTED
SICK,7,3,12,8,5,3,0.625,0.2,12,0,REJECTED
ANNUAL,5,4,14,6,6,0,1.0,0.78,11,0,APPROVED
ANNUAL,10,4,13,3,0,3,0.0,0.72,14,5,REJECTED
SICK,1,5,18,0,0,0,0.5,0.4828,15,0,REJECTED
SICK,7,5,20,7,5,2,0.7143,0.75,13,4,REJECTED
SICK,8,2,8,6,2,4,0.3333,0.0833,11,2,REJECTED
ANNUAL,2,6,22,5,4,1,0.8,0.7843,11,0,APPROVED
ANNUAL,2,5,18,3,0,3,0.0,0.0769,12,2,REJECTED
SICK,2,6,23,8,3,5,0.375,0.8723,6,1,APPROVED
SICK,5,4,13,2,0,2,0.0,0.8182,8,1,REJECTED
SICK,1,6,24,5,1,4,0.2,0.7872,10,0,APPROVED
ANNUAL,9,3,12,1,0,1,0.0,0.65,14,2,REJECTED
SICK,10,4,14,0,0,0,0.5,0.8393,9,3,APPROVED
ANNUAL,7,1,4,1,1,0,1.0,0.7455,14,0,APPROVED
SICK,3,3,12,4,4,0,1.0,0.8,10,3,APPROVED
ANNUAL,2,4,14,1,0,1,0.0,0.6216,14,1,REJECTED
ANNUAL,7,4,14,1,1,0,1.0,0.7297,10,5,APPROVED
ANNUAL,2,3,12,1,0,1,0.0,0.1333,13,0,REJECTED
SICK,10,5,20,8,8,0,1.0,0.9032,3,3,APPROVED
SICK,5,6,21,4,2,2,0.5,0.625,6,1,APPROVED
ANNUAL,9,5,18,5,0,5,0.0,0.8621,8,4,REJECTED
SICK,10,5,20,4,0,4,0.0,0.619,8,5,REJECTED
SICK,3,3,9,2,2,0,1.0,0.7692,12,0,APPROVED
SICK,9,6,24,3,3,0,1.0,0.6111,14,2,REJECTED
ANNUAL,10,3,10,1,0,1,0.0,0.7368,5,4,REJECTED
ANNUAL,7,5,17,7,7,0,1.0,0.7778,8,1,APPROVED
SICK,5,6,21,7,4,3,0.5714,0.75,3,3,APPROVED
ANNUAL,4,1,1,2,1,1,0.5,0.6429,10,0,APPROVED
SICK,3,6,21,6,4,2,0.6667,0.8727,7,4,APPROVED
SICK,7,3,9,0,0,0,0.5,1.0,0,3,REJECTED
ANNUAL,10,6,23,6,5,1,0.8333,0.74,13,2,REJECTED
SICK,10,2,6,7,5,2,0.7143,0.1333,13,0,REJECTED
SICK,7,3,11,4,2,2,0.5,0.5833,10,1,REJECTED
SICK,6,5,18,5,5,0,1.0,0.9216,4,1,APPROVED
SICK,10,1,1,2,2,0,1.0,0.8571,2,5,APPROVED
ANNUAL,10,6,23,5,5,0,1.0,0.8667,4,3,APPROVED
ANNUAL,5,2,8,0,0,0,0.5,0.9375,2,2,APPROVED
ANNUAL,5,5,19,1,0,1,0.0,0.7551,12,3,REJECTED
SICK,8,3,10,3,2,1,0.6667,0.6875,15,4,REJECTED
SICK,6,4,14,1,0,1,0.0,0.75,3,5,REJECTED
SICK,6,4,15,5,2,3,0.4,0.6176,13,2,APPROVED
ANNUAL,2,2,8,5,0,5,0.0,0.7333,12,2,REJECTED
SICK,6,1,2,1,0,1,0.0,0.7188,9,5,REJECTED
SICK,5,2,7,8,6,2,0.75,0.8039,10,1,APPROVED
ANNUAL,9,1,2,5,0,5,0.0,0.7273,9,1,REJECTED
SICK,4,1,4,2,0,2,0.0,0.7143,4,0,REJECTED
SICK,6,3,10,2,2,0,1.0,0.8824,4,1,APPROVED
SICK,8,4,13,0,0,0,0.5,0.6944,11,5,REJECTED
ANNUAL,8,4,13,3,1,2,0.3333,0.4828,15,1,REJECTED
ANNUAL,8,6,23,4,3,1,0.75,0.6905,13,1,REJECTED
ANNUAL,1,3,12,7,5,2,0.7143,0.9333,3,5,APPROVED
SICK,3,2,5,4,3,1,0.75,0.9048,4,3,APPROVED
ANNUAL,6,6,22,0,0,0,0.5,0.9722,1,3,APPROVED
SICK,6,3,11,3,0,3,0.0,0.9,3,5,REJECTED
SICK,5,3,12,7,2,5,0.2857,0.7414,15,3,APPROVED
SICK,5,4,16,3,1,2,0.3333,0.7111,13,0,APPROVED
SICK,4,5,18,6,5,1,0.8333,0.7667,14,0,APPROVED
SICK,9,1,4,3,1,2,0.3333,0.5357,13,0,REJECTED
ANNUAL,3,6,23,1,1,0,1.0,0.4286,8,4,APPROVED
SICK,7,4,15,7,0,7,0.0,0.76,12,2,REJECTED
SICK,6,3,9,3,0,3,0.0,0.8305,10,1,REJECTED
SICK,8,2,6,7,2,5,0.2857,0.8889,2,5,APPROVED
SICK,4,1,1,0,0,0,0.5,0.7,9,4,REJECTED
ANNUAL,5,5,20,0,0,0,0.5,0.8966,6,2,APPROVED
ANNUAL,5,5,19,1,1,0,1.0,0.6757,12,5,REJECTED
ANNUAL,3,3,11,7,7,0,1.0,0.7576,8,0,APPROVED
SICK,9,4,13,4,2,2,0.5,0.875,2,2,APPROVED
ANNUAL,3,4,13,7,5,2,0.7143,0.9737,1,5,APPROVED
ANNUAL,1,6,21,1,1,0,1.0,0.8485,5,0,APPROVED
ANNUAL,1,1,2,2,0,2,0.0,0.56,11,2,REJECTED
SICK,8,5,19,5,2,3,0.4,0.9474,2,4,REJECTED
ANNUAL,5,3,11,3,0,3,0.0,0.0,11,1,REJECTED
SICK,5,5,20,4,3,1,0.75,0.6087,9,5,APPROVED
SICK,8,3,12,2,2,0,1.0,0.9474,2,5,APPROVED
SICK,9,2,7,8,4,4,0.5,0.8276,5,5,REJECTED
SICK,2,4,15,3,1,2,0.3333,0.4,15,0,REJECTED
ANNUAL,9,3,9,2,2,0,1.0,0.8667,2,2,REJECTED
ANNUAL,9,3,10,6,6,0,1.0,0.9444,2,1,APPROVED
ANNUAL,9,4,14,5,1,4,0.2,0.9153,5,1,REJECTED
SICK,9,5,19,2,1,1,0.5,0.75,5,2,APPROVED
ANNUAL,2,4,15,4,1,3,0.25,0.84,8,1,APPROVED
SICK,10,4,16,2,0,2,0.0,0.8077,10,4,REJECTED
SICK,1,6,24,4,1,3,0.25,0.7797,13,4,REJECTED
ANNUAL,5,2,8,7,3,4,0.4286,0.7736,12,2,APPROVED
SICK,8,5,19,6,3,3,0.5,0.8462,6,2,APPROVED
ANNUAL,6,2,7,6,1,5,0.1667,0.8103,11,4,APPROVED
ANNUAL,2,6,22,4,3,1,0.75,0.84,4,0,APPROVED
ANNUAL,4,3,11,2,1,1,0.5,0.7826,10,1,APPROVED
ANNUAL,8,4,15,4,3,1,0.75,0.9091,1,3,APPROVED
SICK,10,6,22,5,0,5,0.0,0.6923,4,3,REJECTED
ANNUAL,5,2,8,8,0,8,0.0,0.1875,13,1,REJECTED
ANNUAL,1,3,11,6,0,6,0.0,0.8696,6,2,APPROVED
ANNUAL,9,3,11,4,4,0,1.0,0.9434,3,1,APPROVED
ANNUAL,3,2,6,3,3,0,1.0,0.9762,1,0,APPROVED
ANNUAL,9,2,6,7,2,5,0.2857,0.9167,4,2,APPROVED
ANNUAL,10,3,11,5,4,1,0.8,0.6429,15,5,APPROVED
ANNUAL,6,6,24,1,1,0,1.0,0.8085,9,5,APPROVED
SICK,1,5,17,7,2,5,0.2857,0.7209,12,1,APPROVED
SICK,4,2,7,0,0,0,0.5,0.7368,10,3,REJECTED
ANNUAL,9,1,1,7,0,7,0.0,0.9273,4,4,REJECTED
ANNUAL,9,1,2,6,2,4,0.3333,0.3333,14,4,REJECTED
ANNUAL,10,1,2,7,3,4,0.4286,0.68,8,4,REJECTED
ANNUAL,4,2,5,7,5,2,0.7143,0.725,11,4,APPROVED
ANNUAL,7,6,23,5,1,4,0.2,0.9643,1,2,REJECTED
ANNUAL,8,4,14,3,1,2,0.3333,0.8182,8,4,APPROVED
SICK,4,4,13,0,0,0,0.5,0.8654,7,5,APPROVED
ANNUAL,8,6,21,1,0,1,0.0,0.2,8,1,REJECTED
ANNUAL,4,1,4,4,2,2,0.5,0.9643,1,0,APPROVED
SICK,3,3,10,6,6,0,1.0,0.9524,1,3,APPROVED
ANNUAL,1,3,10,0,0,0,0.5,0.8966,3,2,APPROVED
ANNUAL,3,2,8,8,7,1,0.875,0.7778,6,0,APPROVED
ANNUAL,3,4,14,0,0,0,0.5,0.8246,10,2,APPROVED
SICK,10,1,1,6,6,0,1.0,0.7297,10,0,REJECTED
SICK,8,1,3,5,1,4,0.2,0.6,4,3,REJECTED
ANNUAL,5,5,17,0,0,0,0.5,0.5769,11,5,APPROVED
ANNUAL,5,5,18,2,1,1,0.5,0.8302,9,5,APPROVED
ANNUAL,10,2,5,3,1,2,0.3333,0.1667,15,1,REJECTED
ANNUAL,7,4,13,8,7,1,0.875,0.8966,6,1,APPROVED
ANNUAL,9,4,16,5,0,5,0.0,0.9348,3,0,REJECTED
SICK,3,1,1,5,4,1,0.8,0.9211,3,5,APPROVED
SICK,9,1,4,7,0,7,0.0,0.8974,4,4,REJECTED
ANNUAL,5,5,19,0,0,0,0.5,0.7714,8,0,APPROVED
ANNUAL,6,5,19,1,0,1,0.0,0.0,14,3,REJECTED
SICK,7,1,3,5,3,2,0.6,0.6842,12,3,REJECTED
SICK,6,1,2,1,0,1,0.0,0.7273,12,4,REJECTED
SICK,1,6,22,4,3,1,0.75,0.7547,13,4,REJECTED
ANNUAL,6,6,22,2,1,1,0.5,0.8636,3,0,APPROVED
SICK,4,6,24,1,0,1,0.0,0.9792,1,3,APPROVED
SICK,1,5,19,6,3,3,0.5,0.75,6,0,APPROVED
SICK,10,2,5,5,4,1,0.8,0.7917,10,1,REJECTED
SICK,7,1,2,4,2,2,0.5,0.3846,8,4,REJECTED
ANNUAL,1,6,21,5,5,0,1.0,0.7692,12,4,APPROVED
SICK,5,6,21,6,1,5,0.1667,0.7414,15,1,REJECTED
SICK,8,2,7,0,0,0,0.5,0.7111,13,3,REJECTED
SICK,5,3,11,3,2,1,0.6667,0.9608,2,3,APPROVED
SICK,1,3,10,4,3,1,0.75,0.9811,1,0,APPROVED
SICK,8,6,23,3,2,1,0.6667,1.0,0,1,REJECTED
ANNUAL,4,5,18,3,3,0,1.0,0.6,10,2,APPROVED
ANNUAL,5,2,8,4,2,2,0.5,0.6429,15,3,REJECTED
ANNUAL,6,3,10,3,2,1,0.6667,0.5667,13,0,APPROVED
SICK,1,3,10,4,4,0,1.0,0.7234,13,2,APPROVED
ANNUAL,10,6,22,3,3,0,1.0,0.7778,10,2,REJECTED
ANNUAL,8,2,8,2,2,0,1.0,0.8167,11,1,APPROVED
SICK,9,1,4,0,0,0,0.5,0.9767,1,0,REJECTED
SICK,4,6,21,1,0,1,0.0,0.7,3,4,REJECTED
ANNUAL,8,4,13,0,0,0,0.5,0.2,8,4,APPROVED
ANNUAL,9,4,15,4,0,4,0.0,0.6905,13,1,REJECTED
SICK,4,4,15,3,2,1,0.6667,0.75,8,3,APPROVED
ANNUAL,10,3,11,3,1,2,0.3333,0.931,2,5,APPROVED
ANNUAL,9,3,11,7,0,7,0.0,1.0,0,5,APPROVED
ANNUAL,10,6,21,1,0,1,0.0,0.75,6,5,REJECTED
SICK,5,5,19,8,0,8,0.0,0.5238,10,0,REJECTED
ANNUAL,2,2,7,4,1,3,0.25,0.8478,7,4,APPROVED
ANNUAL,7,5,20,2,2,0,1.0,0.9643,2,4,APPROVED
SICK,2,6,21,5,4,1,0.8,0.7966,12,2,APPROVED
ANNUAL,4,4,14,5,4,1,0.8,0.6176,13,1,APPROVED
ANNUAL,4,4,16,1,0,1,0.0,0.8519,4,3,REJECTED
ANNUAL,2,2,6,1,0,1,0.0,0.5172,14,2,APPROVED
SICK,7,4,16,7,6,1,0.8571,1.0,0,0,APPROVED
ANNUAL,7,4,13,0,0,0,0.5,0.5357,13,3,REJECTED
SICK,10,5,20,8,2,6,0.25,0.7736,12,1,APPROVED
ANNUAL,3,5,17,1,0,1,0.0,0.7838,8,3,APPROVED
ANNUAL,5,4,16,3,3,0,1.0,0.875,6,3,APPROVED
ANNUAL,6,6,24,6,6,0,1.0,0.5484,14,2,REJECTED
SICK,5,2,8,5,4,1,0.8,0.8889,6,3,APPROVED
ANNUAL,5,3,11,7,3,4,0.4286,0.6,12,2,APPROVED
SICK,10,6,23,8,2,6,0.25,1.0,0,5,REJECTED
ANNUAL,5,1,1,1,1,0,1.0,0.717,15,1,APPROVED
SICK,7,1,2,6,0,6,0.0,0.6053,15,4,REJECTED
ANNUAL,9,2,7,0,0,0,0.5,0.8167,11,5,REJECTED
SICK,4,4,16,5,1,4,0.2,0.9804,1,4,REJECTED
ANNUAL,2,2,6,0,0,0,0.5,0.5,8,1,APPROVED
SICK,8,5,20,5,3,2,0.6,0.8974,4,2,REJECTED
ANNUAL,2,2,5,1,0,1,0.0,0.7188,9,2,REJECTED
ANNUAL,6,4,15,7,1,6,0.1429,0.6316,14,2,REJECTED
SICK,1,2,7,5,5,0,1.0,0.6875,5,5,APPROVED
SICK,6,5,20,8,6,2,0.75,0.8205,7,3,APPROVED
ANNUAL,7,1,2,0,0,0,0.5,0.8947,6,3,APPROVED
SICK,4,6,24,4,0,4,0.0,0.9348,3,4,REJECTED
ANNUAL,2,1,1,4,3,1,0.75,0.7674,10,4,APPROVED
SICK,6,6,23,5,3,2,0.6,0.898,5,5,REJECTED
SICK,3,6,23,5,0,5,0.0,0.64,9,0,REJECTED
ANNUAL,7,3,12,2,2,0,1.0,0.6176,13,1,APPROVED
SICK,9,2,7,2,1,1,0.5,0.8571,4,1,REJECTED
SICK,6,4,13,0,0,0,0.5,0.9024,4,1,REJECTED
ANNUAL,7,4,15,7,6,1,0.8571,0.7455,14,3,APPROVED
SICK,5,6,24,0,0,0,0.5,0.7407,7,4,APPROVED
ANNUAL,9,4,14,8,1,7,0.125,0.9348,3,2,REJECTED
SICK,8,3,9,8,3,5,0.375,0.9189,3,5,REJECTED
ANNUAL,5,5,19,5,0,5,0.0,0.9211,3,1,APPROVED
ANNUAL,10,6,23,6,1,5,0.1667,0.9184,4,1,REJECTED
ANNUAL,9,6,23,4,4,0,1.0,0.8864,5,2,APPROVED
SICK,3,5,17,6,0,6,0.0,0.8519,4,5,REJECTED
ANNUAL,4,2,7,6,3,3,0.5,0.5789,8,5,APPROVED
SICK,7,4,16,8,4,4,0.5,0.7963,11,3,APPROVED
SICK,8,6,24,5,0,5,0.0,0.8,12,1,REJECTED
ANNUAL,6,1,4,4,2,2,0.5,0.9111,4,4,APPROVED
SICK,1,1,2,1,1,0,1.0,0.9091,1,1,APPROVED
SICK,3,6,21,4,1,3,0.25,0.9259,2,5,APPROVED
SICK,1,3,9,6,5,1,0.8333,0.7586,7,3,APPROVED
SICK,8,6,24,1,0,1,0.0,0.8511,7,4,APPROVED
ANNUAL,2,2,7,6,5,1,0.8333,0.1667,15,0,APPROVED
SICK,2,3,10,5,2,3,0.4,0.8621,4,3,APPROVED
SICK,2,1,2,8,0,8,0.0,0.898,5,3,REJECTED
SICK,7,2,8,7,3,4,0.4286,0.8,3,1,REJECTED
ANNUAL,7,3,11,5,1,4,0.2,0.68,8,5,REJECTED
ANNUAL,1,4,13,4,1,3,0.25,0.8605,6,5,APPROVED
SICK,8,5,19,6,0,6,0.0,0.4,15,5,REJECTED
ANNUAL,6,6,24,2,1,1,0.5,0.7174,13,2,APPROVED
SICK,1,1,4,1,0,1,0.0,0.7692,6,0,REJECTED
ANNUAL,9,3,11,6,3,3,0.5,0.7778,12,0,APPROVED
ANNUAL,2,3,12,4,0,4,0.0,0.8571,6,1,APPROVED
SICK,5,6,23,6,5,1,0.8333,0.96,1,1,APPROVED
ANNUAL,10,5,18,0,0,0,0.5,0.8276,5,0,REJECTED
SICK,3,2,7,7,5,2,0.7143,0.814,8,1,APPROVED
SICK,1,5,17,5,3,2,0.6,0.9259,2,2,APPROVED
ANNUAL,9,1,4,5,0,5,0.0,0.878,5,2,REJECTED
SICK,4,5,18,8,0,8,0.0,1.0,0,1,APPROVED
SICK,3,3,11,0,0,0,0.5,0.7111,13,1,APPROVED
ANNUAL,5,3,10,1,1,0,1.0,0.9412,1,1,APPROVED
ANNUAL,2,5,19,7,4,3,0.5714,0.8475,9,2,APPROVED
ANNUAL,4,6,24,4,4,0,1.0,0.85,9,5,APPROVED
ANNUAL,4,3,9,8,3,5,0.375,1.0,0,3,APPROVED
SICK,6,3,9,0,0,0,0.5,0.7931,12,5,APPROVED
SICK,7,4,15,7,0,7,0.0,0.5789,8,0,REJECTED
ANNUAL,6,4,15,7,1,6,0.1429,0.9362,3,4,REJECTED
SICK,10,3,11,0,0,0,0.5,0.8919,4,1,APPROVED
ANNUAL,6,2,6,5,3,2,0.6,0.7407,7,0,APPROVED
SICK,3,6,23,1,0,1,0.0,0.6316,14,2,REJECTED
SICK,8,3,9,4,3,1,0.75,0.8846,3,0,APPROVED
SICK,4,2,5,5,1,4,0.2,0.5333,7,2,REJECTED
ANNUAL,5,1,2,2,0,2,0.0,0.6,14,4,REJECTED
SICK,3,4,14,1,0,1,0.0,0.0,13,1,REJECTED
ANNUAL,2,3,11,4,0,4,0.0,0.9091,1,1,APPROVED
ANNUAL,2,4,16,0,0,0,0.5,0.9744,1,1,APPROVED
ANNUAL,8,3,10,0,0,0,0.5,0.6176,13,1,APPROVED
ANNUAL,5,1,3,7,2,5,0.2857,0.25,9,4,APPROVED
ANNUAL,7,2,5,8,7,1,0.875,0.9231,1,2,APPROVED
SICK,9,1,1,0,0,0,0.5,0.6765,11,3,REJECTED
ANNUAL,7,3,9,4,1,3,0.25,0.5455,5,4,APPROVED
SICK,8,5,17,8,5,3,0.625,0.8814,7,1,APPROVED
ANNUAL,9,6,22,0,0,0,0.5,0.8793,7,4,REJECTED
SICK,4,1,3,5,5,0,1.0,0.7963,11,4,REJECTED
SICK,10,3,9,3,3,0,1.0,0.7955,9,1,APPROVED
SICK,10,5,19,3,0,3,0.0,0.6512,15,0,REJECTED
SICK,6,1,1,2,1,1,0.5,1.0,0,1,APPROVED
SICK,9,3,12,5,0,5,0.0,0.6364,12,4,REJECTED
SICK,3,2,6,6,6,0,1.0,0.7,15,5,APPROVED
ANNUAL,4,5,20,2,1,1,0.5,0.6897,9,1,APPROVED
ANNUAL,10,2,7,0,0,0,0.5,0.5238,10,4,REJECTED
ANNUAL,3,5,18,5,5,0,1.0,0.7857,3,2,APPROVED
ANNUAL,8,4,16,0,0,0,0.5,0.7692,6,1,APPROVED
SICK,1,5,18,6,3,3,0.5,0.7679,13,1,APPROVED
ANNUAL,9,3,11,6,0,6,0.0,0.825,7,1,APPROVED
ANNUAL,1,5,19,5,2,3,0.4,0.875,2,2,REJECTED
SICK,9,1,3,1,1,0,1.0,0.6875,15,5,REJECTED
SICK,10,2,8,6,1,5,0.1667,0.9231,1,2,REJECTED
ANNUAL,5,6,21,4,1,3,0.25,0.9375,1,3,APPROVED
SICK,1,1,4,5,0,5,0.0,0.9459,2,2,APPROVED
SICK,4,5,18,2,2,0,1.0,0.9286,2,3,APPROVED
ANNUAL,8,3,11,4,0,4,0.0,0.7647,12,1,REJECTED
SICK,8,3,9,0,0,0,0.5,0.4615,14,3,REJECTED
