employee_id,month,year,basic_salary,working_days,present_days,late_days,absent_days,late_minutes,late_hours,absence_deduction,delay_deduction,total_deduction
13,5,2026,800.0,26,20,5,1,216,3.6,30.77,13.85,44.62
13,6,2026,800.0,26,22,2,2,67,1.12,61.54,4.29,65.83
13,7,2026,800.0,26,25,1,0,59,0.98,0.0,3.78,3.78
13,8,2026,800.0,27,21,4,2,279,4.65,59.26,17.22,76.48
14,4,2026,2500.0,26,23,3,0,123,2.05,0.0,24.64,24.64
14,5,2026,2500.0,26,22,3,1,291,4.85,96.15,58.29,154.44
14,6,2026,2500.0,26,22,4,0,295,4.92,0.0,59.09,59.09
14,7,2026,2500.0,26,23,2,1,110,1.83,96.15,22.04,118.19
14,8,2026,2500.0,27,24,1,2,89,1.48,185.19,17.17,202.36
15,4,2026,850.0,26,23,1,2,105,1.75,65.38,7.15,72.53
15,5,2026,850.0,26,24,1,1,53,0.88,32.69,3.61,36.3
15,6,2026,850.0,26,22,2,2,137,2.28,65.38,9.33,74.71
15,7,2026,850.0,26,21,4,1,346,5.77,32.69,23.57,56.26
15,8,2026,850.0,27,23,4,0,201,3.35,0.0,13.18,13.18
16,4,2026,850.0,26,20,4,2,169,2.82,65.38,11.51,76.89
16,5,2026,850.0,26,23,1,2,30,0.5,65.38,2.04,67.42
16,6,2026,850.0,26,20,4,2,257,4.28,65.38,17.5,82.88
16,7,2026,850.0,26,22,3,1,181,3.02,32.69,12.33,45.02
16,8,2026,850.0,27,25,1,1,110,1.83,31.48,7.21,38.69
17,4,2026,750.0,26,23,1,2,77,1.28,57.69,4.63,62.32
17,5,2026,750.0,26,23,1,2,37,0.62,57.69,2.22,59.91
17,6,2026,750.0,26,22,1,3,27,0.45,86.54,1.62,88.16
17,7,2026,750.0,26,22,4,0,216,3.6,0.0,12.98,12.98
17,8,2026,750.0,27,20,7,0,381,6.35,0.0,22.05,22.05
18,4,2026,2100.0,26,20,4,2,310,5.17,161.54,52.16,213.7
18,5,2026,2100.0,26,24,2,0,83,1.38,0.0,13.97,13.97
18,6,2026,2100.0,26,22,3,1,145,2.42,80.77,24.4,105.17
18,7,2026,2100.0,26,22,2,2,69,1.15,161.54,11.61,173.15
18,8,2026,2100.0,27,20,4,3,279,4.65,233.33,45.21,278.54
19,4,2026,700.0,26,21,4,1,279,4.65,26.92,15.65,42.57
19,5,2026,700.0,26,21,3,2,246,4.1,53.85,13.8,67.65
19,6,2026,700.0,26,21,2,3,69,1.15,80.77,3.87,84.64
19,7,2026,700.0,26,21,4,1,243,4.05,26.92,13.63,40.55
19,8,2026,700.0,27,24,0,3,0,0.0,77.78,0.0,77.78
20,4,2026,700.0,26,24,2,0,132,2.2,0.0,7.4,7.4
20,5,2026,700.0,26,22,4,0,273,4.55,0.0,15.31,15.31
20,6,2026,700.0,26,23,3,0,240,4.0,0.0,13.46,13.46
20,7,2026,700.0,26,22,2,2,47,0.78,53.85,2.64,56.49
20,8,2026,700.0,27,22,4,1,314,5.23,25.93,16.96,42.89
21,4,2026,700.0,26,22,1,3,93,1.55,80.77,5.22,85.99
21,5,2026,700.0,26,22,2,2,170,2.83,53.85,9.54,63.39
21,6,2026,700.0,26,24,1,1,21,0.35,26.92,1.18,28.1
21,7,2026,700.0,26,22,3,1,227,3.78,26.92,12.73,39.65
21,8,2026,700.0,27,22,2,3,118,1.97,77.78,6.37,84.15
22,4,2026,2500.0,26,20,3,3,94,1.57,288.46,18.83,307.29
22,5,2026,2500.0,26,25,1,0,11,0.18,0.0,2.2,2.2
22,6,2026,2500.0,26,21,2,3,115,1.92,288.46,23.04,311.5
22,7,2026,2500.0,26,22,4,0,230,3.83,0.0,46.07,46.07
22,8,2026,2500.0,27,23,2,2,117,1.95,185.19,22.57,207.76
24,4,2026,800.0,26,24,2,0,122,2.03,0.0,7.82,7.82
24,5,2026,800.0,26,22,3,1,227,3.78,30.77,14.55,45.32
24,6,2026,800.0,26,26,0,0,0,0.0,0.0,0.0,0.0
24,7,2026,800.0,26,22,4,0,317,5.28,0.0,20.32,20.32
24,8,2026,800.0,27,25,1,1,44,0.73,29.63,2.72,32.35
25,4,2026,800.0,26,21,3,2,170,2.83,61.54,10.9,72.44
25,5,2026,800.0,26,20,4,2,280,4.67,61.54,17.95,79.49
25,6,2026,800.0,26,23,1,2,46,0.77,61.54,2.95,64.49
25,7,2026,800.0,26,24,1,1,66,1.1,30.77,4.23,35.0
25,8,2026,800.0,27,22,4,1,197,3.28,29.63,12.16,41.79
26,4,2026,900.0,26,23,3,0,103,1.72,0.0,7.43,7.43
26,5,2026,900.0,26,23,2,1,84,1.4,34.62,6.06,40.68
26,6,2026,900.0,26,24,1,1,49,0.82,34.62,3.53,38.15
26,7,2026,900.0,26,21,3,2,287,4.78,69.23,20.7,89.93
26,8,2026,900.0,27,23,3,1,123,2.05,33.33,8.54,41.87
